date	total_num_addresses
2020-09-04	1013330
2020-09-03	985739
2020-09-02	1034209
2020-09-01	1089210
2020-08-31	931549
2020-08-30	839662
2020-08-29	985094
2020-08-28	1089313
2020-08-27	958992
2020-08-26	1039702
2020-08-25	959916
2020-08-24	943490
2020-08-23	926956
2020-08-22	963973
2020-08-21	1098887
2020-08-20	1004719
2020-08-19	984468
2020-08-18	1021120
2020-08-17	890289
2020-08-16	897723
2020-08-15	987359
2020-08-14	1099122
2020-08-13	954330
2020-08-12	1064980
2020-08-11	1091961
2020-08-10	977807
2020-08-09	913883
2020-08-08	956982
2020-08-07	1056177
2020-08-06	1130815
2020-08-05	960098
2020-08-04	1001974
2020-08-03	1087285
2020-08-02	961511
2020-08-01	962645
2020-07-31	1065584
2020-07-30	972959
2020-07-29	1048886
2020-07-28	1060050
2020-07-27	1027493
2020-07-26	1005933
2020-07-25	979174
2020-07-24	1086693
2020-07-23	988083
2020-07-22	1024306
2020-07-21	928809
2020-07-20	945876
2020-07-19	883750
2020-07-18	894991
2020-07-17	858601
2020-07-16	974469
2020-07-15	972945
2020-07-14	1008030
2020-07-13	913626
2020-07-12	755307
2020-07-11	890511
2020-07-10	994020
2020-07-09	1051240
2020-07-08	1024774
2020-07-07	978928
2020-07-06	1002538
2020-07-05	776789
